DATE,XTNTVA01KRM667S
1991-09-01,-1243541177.01079
1991-10-01,-558057250.709878
1991-11-01,-812399799.6446099
1991-12-01,2987052.03296948
1992-01-01,-992378666.305586
1992-02-01,-965489051.138744
1992-03-01,-680776883.404039
1992-04-01,-307754709.01914495
1992-05-01,-639357230.418124
1992-06-01,-479451382.397159
1992-07-01,-466439673.215589
1992-08-01,9877949.60661697
1992-09-01,117564728.30334
1992-10-01,-156012781.316169
1992-11-01,-70414966.9709568
1992-12-01,-422928775.649074
1993-01-01,-291581382.508137
1993-02-01,-99494209.4445076
1993-03-01,-81865176.2532568
1993-04-01,-5976212.18845654
1993-05-01,-284307413.225384
1993-06-01,-507972718.96275795
1993-07-01,-359907046.130689
1993-08-01,-3348587.13644123
1993-09-01,-51280023.805214904
1993-10-01,145544597.423128
1993-11-01,-137021583.64513502
1993-12-01,46518537.2478962
1994-01-01,-583588955.141468
1994-02-01,-262266945.80417198
1994-03-01,-529121081.46357197
1994-04-01,-259711803.51280198
1994-05-01,-572993428.677384
1994-06-01,-425679659.950767
1994-07-01,-631320931.1360661
1994-08-01,-696931959.169076
1994-09-01,-726337453.799998
1994-10-01,-735991705.547423
1994-11-01,-526345849.609306
1994-12-01,-457404686.472157
1995-01-01,-447802086.98532295
1995-02-01,-1031951724.93567
1995-03-01,-1282215584.96537
1995-04-01,-1087876170.71645
1995-05-01,-1047317771.89163
1995-06-01,-1061445217.74691
1995-07-01,-731938686.731855
1995-08-01,-535688094.4555
1995-09-01,-953065143.6150889
1995-10-01,-637424042.435638
1995-11-01,-660050724.804081
1995-12-01,-1004906813.5717201
1996-01-01,-658736564.817734
1996-02-01,-1131592440.81842
1996-03-01,-686725950.833395
1996-04-01,-1746426125.5944
1996-05-01,-1272141023.65351
1996-06-01,-1473198523.38693
1996-07-01,-2308511684.0233703
1996-08-01,-2786390741.42986
1996-09-01,-2105106632.6556299
1996-10-01,-1815616167.4706
1996-11-01,-2139019882.51019
1996-12-01,-2007350885.1982899
1997-01-01,-2331493485.0571
1997-02-01,-2001079251.69995
1997-03-01,-1717394027.83708
1997-04-01,-1204937505.3162801
1997-05-01,-776321250.633459
1997-06-01,-614179911.9592501
1997-07-01,-234114253.534657
1997-08-01,-331666237.74292
1997-09-01,-559894940.6593629
1997-10-01,-272313884.24946004
1997-11-01,15039593.6897602
1997-12-01,1554587647.43639
1998-01-01,2353716071.6695
1998-02-01,4174275555.44704
1998-03-01,3630907289.7991
1998-04-01,3871551988.71914
1998-05-01,3515463933.61233
1998-06-01,3265280087.33685
1998-07-01,3183220643.54214
1998-08-01,2953325355.81815
1998-09-01,3394562418.58498
1998-10-01,2632091548.65289
1998-11-01,2990640986.36848
1998-12-01,3095049285.95004
