"시점",M2(말잔 계절조정계열),현금통화,요구불예금,수시입출식저축성예금,MMF,만기2년미만정기예적금,수익증권,시장형상품1),만기2년미만금융채,만기2년미만금전신탁,기타2)
"2014.12",2083218.2,64182.5,138813.7,372575.7,58061.1,890375.3,161242.3,24614.8,85863.1,182878.8,104610.8
"2015.01",2091409.6,64367.8,142361.3,367709.3,70420.4,883175.7,160514.2,25959.2,84984.3,186102.6,105814.7
"2015.02",2110311.1,65894.7,146147.9,379320.6,71376.1,878189.6,162402.6,25817.1,84111.4,189185.5,107865.6
"2015.03",2130742.3,67300.7,147663.3,387772.0,75387.6,880705.8,162484.3,26324.4,84481.6,192072.2,106550.4
"2015.04",2158644.9,68256.6,154118.9,397254.3,78434.3,877723.8,165487.7,26364.4,84995.0,193688.2,112321.8
"2015.05",2170652.9,68963.7,156767.9,400280.8,76860.6,879301.0,165075.7,27111.3,85708.1,198688.9,111895.0
"2015.06",2185308.0,70234.6,160424.1,409526.8,74780.0,879922.9,166058.6,27508.1,86508.6,197989.5,112354.7
"2015.07",2201836.9,71239.8,166237.6,416452.2,77952.8,879772.1,169038.8,27256.9,84718.6,197225.1,111943.0
"2015.08",2220758.0,72383.1,170057.8,422260.5,74575.0,880472.0,174798.3,28682.3,84176.5,199104.4,114248.3
"2015.09",2222873.6,73820.3,176088.5,431668.3,69747.3,878351.7,174421.0,30338.5,81107.8,191499.9,115830.3
"2015.10",2230980.7,74430.3,174714.9,428529.4,71139.6,882926.1,173915.6,31998.7,84843.7,193747.0,114735.3
"2015.11",2238505.8,75216.9,177560.9,433845.2,67818.3,884680.1,173269.6,30973.0,84968.7,193295.1,116877.9
"2015.12",2252171.2,75969.4,178451.4,443301.5,58173.9,896207.4,173465.0,31774.8,82685.3,195899.5,116243.2
"2016.01",2266781.4,76464.0,181485.8,436162.2,72441.8,899979.2,175836.3,31044.4,84573.0,195994.4,112800.3
"2016.02",2286645.5,77237.4,185062.5,444888.1,69213.6,908172.3,178169.1,30991.9,83632.6,197447.2,111830.8
"2016.03",2299682.0,79017.1,187268.7,455911.1,64886.5,906528.6,178875.3,30326.6,81721.6,200090.9,115055.7
"2016.04",2298306.6,79340.1,184918.5,451511.2,62887.3,910164.3,179212.9,29664.5,80739.7,201228.4,118639.7
"2016.05",2321864.7,80888.2,190330.4,457121.0,69998.0,913778.2,180503.9,30252.0,79630.8,203209.9,116152.4
"2016.06",2330392.4,81751.1,190125.4,463580.4,65164.9,917621.2,182339.0,26666.8,78969.2,205553.7,118620.8
"2016.07",2356688.8,81914.5,192455.9,462553.9,74271.8,921619.3,184827.7,27356.7,78837.1,209850.8,123001.0
"2016.08",2383861.3,83261.6,196794.8,476976.5,73115.7,922833.2,184823.4,26938.1,80143.3,215110.9,123863.9
"2016.09",2386375.0,83474.3,197310.2,472362.8,70383.8,928902.7,183498.6,25528.0,82277.6,219475.2,123161.7
"2016.10",2392816.5,84732.0,202579.3,477328.3,66049.0,932598.9,183825.9,25940.5,81720.6,218271.9,119770.0
"2016.11",2404867.0,85562.3,206175.0,482479.2,63684.4,937022.8,181280.1,25815.8,83993.2,219254.6,119599.5
"2016.12",2399741.3,85692.0,204077.2,484889.1,61341.0,934422.7,180223.7,27396.4,82924.8,214354.0,124420.3
"2017.01",2405487.2,88180.4,205470.8,486719.5,63682.3,937864.9,179552.8,26719.9,81863.4,211247.7,124185.6
"2017.02",2429038.6,90053.0,207159.4,490985.1,67202.0,943122.1,174740.6,26870.8,86485.3,215630.4,126789.8
"2017.03",2441237.4,88725.8,208237.4,494002.3,67987.7,945674.2,176809.0,26442.0,87004.5,215233.1,131121.3
"2017.04",2445358.9,89258.9,207824.5,495174.3,63860.0,950894.9,175455.4,27209.1,88482.1,219632.6,127567.1
"2017.05",2454424.8,90545.1,209604.8,496429.6,66344.2,953212.4,176044.0,28275.4,88631.5,215542.2,129795.6
"2017.06",2459115.6,91489.5,211660.4,503483.5,58166.9,953629.3,175663.4,30328.4,88582.7,219518.1,126593.3
"2017.07",2477331.8,92304.6,210481.6,504260.9,65564.7,959104.2,173369.3,31904.0,89806.0,219847.5,130689.1
"2017.08",2486613.2,93064.1,214542.1,504557.3,59760.7,968940.5,176470.0,33237.8,90246.4,216831.6,128962.8
"2017.09",2494169.6,95923.8,217229.2,509301.7,53411.2,974479.9,178416.6,32976.5,89560.1,214938.0,127932.6
"2017.10",2512405.4,95493.8,223375.5,513149.1,55497.6,975268.4,178766.5,32344.2,92463.5,210345.1,135701.7
"2017.11",2523634.9,95831.7,221071.3,513604.2,53699.6,977936.5,180610.8,33334.2,96173.6,214281.9,137091.2
"2017.12",2522385.1,95621.5,219899.7,513932.1,48987.1,978978.0,181375.4,33053.9,93707.3,211130.3,145700.0
"2018.01",2566352.4,96412.7,220426.8,521521.1,64895.8,991788.7,179631.7,32543.4,96846.6,221594.0,140691.6
"2018.02",2567235.4,97240.5,219097.2,519513.8,61534.7,998376.5,182847.4,32046.7,95053.5,221235.6,140289.4
"2018.03",2571823.7,97905.4,220789.4,518460.6,57930.8,1003205.1,185484.8,32018.8,94848.4,220177.2,141003.2
"2018.04",2593755.5,99006.3,220177.1,523553.2,61513.7,1016565.9,190325.8,31309.8,95072.7,222358.3,133872.6
"2018.05",2612104.2,99351.5,223160.5,519977.2,65320.0,1031189.1,187724.1,34518.6,94662.1,226025.4,130175.7
"2018.06",2614376.0,99414.5,223258.1,518203.3,66018.3,1039995.6,191487.3,35062.0,95723.9,221069.8,124143.2
"2018.07",2642457.2,100613.4,225075.4,520739.9,69611.3,1050412.6,189970.7,38266.1,97048.1,225208.7,125510.9
"2018.08",2648744.1,100870.7,221252.3,523225.8,59542.6,1058052.0,193724.2,34803.4,99080.9,226881.7,131310.4
"2018.09",2654388.1,101669.1,222852.7,521158.5,51920.4,1069322.6,197892.0,32426.3,97161.7,228913.7,131071.2
"2018.10",2685738.5,102593.5,223022.0,523113.5,55547.1,1087157.8,197709.1,35596.7,98248.6,237448.8,125301.7
"2018.11",2690781.1,103280.1,223843.6,520808.0,51893.9,1087600.2,202432.0,35415.9,98180.5,234765.1,132562.0
"2018.12",2705784.2,104268.7,228410.5,521443.1,46090.7,1094172.2,205490.8,34335.6,96261.2,242289.2,133022.2
"2019.01",2725133.7,107123.0,232814.3,525992.4,49861.7,1097871.2,209139.7,34906.6,94732.0,241791.0,130901.9
"2019.02",2734918.2,104346.2,229219.9,524143.8,54493.8,1113827.5,210903.9,34235.4,91081.2,242924.1,129742.3
"2019.03",2748431.5,105991.3,230609.8,528043.6,53325.0,1121131.0,212871.8,33539.1,91841.6,246089.0,124989.5
"2019.04",2765311.5,107100.3,232662.0,530651.6,53553.2,1135700.5,213513.0,32018.1,91472.2,246919.3,121721.3
"2019.05",2776574.1,107480.8,232429.7,532336.8,48145.3,1144542.4,215994.7,29153.0,89895.6,250153.3,126442.6
"2019.06",2796024.8,107674.2,234630.3,527952.1,48511.0,1157056.7,217793.2,27859.1,89137.5,254159.5,131251.0
"2019.07",2818498.5,109218.1,238194.8,532634.8,49628.5,1172151.5,219102.7,25402.6,87548.0,254411.3,130206.2
"2019.08",2842442.6,109557.2,240181.9,536313.3,43824.1,1183962.9,219835.4,24304.9,88445.4,258064.0,137953.5
